FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Muhamed,Besic,MID,EVE,4400000,0,2,0.0666666666666667,1.51515151515152E-08,4.54545454545455E-07,0,8179,0,0,0,0,0,0,0,0.5,229,-1,0,2,1,0,0,0,0,0,0,0,0,0.2,7621,0,0,0,0,46,51,0,0,10,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Philip,Billing,MID,HUD,4500000,0,12,0.4,8.88888888888889E-08,2.66666666666667E-06,0,28505,2,5,0,0,0,0,0,2.7,964,0,0,12,0,0.1,0,0.3,0,0,3,0,0,0.4,31479,0,0,0,0,420,11,0,0,52,West Brom,Bournemouth,Man City,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,12.6
Daley,Blind,DEF,MUN,5300000,0,19,0.633333333333333,1.19496855345912E-07,3.58490566037736E-06,0,156848,0,0,0,0,0,0,0,3.6,2512,-2,1,19,2,0,0,0,0,0,3,0,0,1.3,128482,0,0,0,0,271,140,-1,0,84,Chelsea,Newcastle,Brighton,Watford,Arsenal,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.5,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3,14.8
Jeremie,Boga,MID,CHE,6000000,0,1,1,1.66666666666667E-07,1.66666666666667E-07,0,887,0,0,0,0,0,0,0,0.2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,17,1,0,0,1,Man Utd,West Brom,Liverpool,Swansea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bojan,MID,STK,5500000,0,2,2,3.63636363636364E-07,3.63636363636364E-07,0,6248,0,1,0,0,0,0,0,0.4,26,0,0,2,0,0,0,0,0,0,0,0,0,0.1,1856,0,0,0,0,71,0,0,0,5,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
Yannick,Bolasie,MID,EVE,6400000,0,0,0,0,0,0,3397,0,0,0,0,0,0,0,0,54,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,463,0,0,0,0,0,16,0,0,0,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaetan,Bong,DEF,BHA,4400000,1,8,0.266666666666667,6.06060606060606E-08,1.81818181818182E-06,0,3679,1,3,0,0,0,0,0,1.8,57,-1,0,8,1,0.5,0,2.3,0,0,1,0,0,0.1,1044,0,0,0,0,270,89,0,0,55,Swansea,Stoke,Man Utd,Crystal Palace,Liverpool,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.8
Wilfried,Bony,FWD,SWA,5800000,0,7,0.233333333333333,4.02298850574713E-08,1.20689655172414E-06,0,49601,1,2,0,0,0,0,0,1.2,825,-2,0,7,2,0,0,0,0,0,0,0,1,0.2,54082,0,0,0,0,168,42,0,0,15,Brighton,Burnley,Bournemouth,Chelsea,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.1
Artur,Boruc,GLK,BOU,4300000,0,0,0,0,0,0,120020,0,0,0,0,0,0,0,0,1267,-2,0,0,2,0,0,0,0,0,0,0,0,1.9,3195,0,0,0,0,0,75,0,0,0,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane,Boufal,MID,SOU,5700000,2,15,0.5,8.7719298245614E-08,2.63157894736842E-06,0,8747,0,4,0,0,0,1,0,2.6,372,-3,0,15,3,0.6,0,3.7,2,0,0,0,0,0.2,5013,0,0,0,0,231,563,0,0,62,Burnley,Liverpool,Everton,Man City,Bournemouth,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,21
