FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Michael,Carrick,MID,MUN,4300000,0,0,0,0,0,0,74592,0,0,0,0,0,0,0,0,2035,-2,0,0,2,0,0,0,0,0,0,0,0,1.3,66190,0,0,0,0,0,933,0,0,0,Chelsea,Newcastle,Brighton,Watford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre,Carrillo,MID,WAT,5500000,2,17,2.1,3.81818181818182E-07,3.09090909090909E-06,0,2028,0,13,0,0,0,0,0,3.1,103,0,0,17,0,0.2,0,1.3,0,0,1,0,1,0,3389,0,0,0,0,501,41,0,0,65,Everton,West Ham,Newcastle,Man Utd,Tottenham,2.3,1.5,1.6,1,1,1.7,1.8,1.4,1.4,1.4,1.3,1.1,1,1.7,1.7,1,1.7,1.9,1.3,1.2,1.2,1.4,1.2,1.6,1.5,1.6,1.5,1.1,21.6
Andy,Carroll,FWD,WHU,5900000,0,4,0.8,1.35593220338983E-07,6.77966101694915E-07,0,28202,2,4,0,0,0,0,0,0.7,909,-1,0,4,1,-0.1,0,-0.7,0,0,3,0,0,0.3,33425,0,0,0,0,340,350,0,1,-9,Liverpool,Watford,Leicester,Everton,Man City,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.5,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.6,20.7
Tom,Carroll,MID,SWA,4500000,2,28,2.8,6.22222222222222E-07,6.22222222222222E-06,0,220913,1,12,0,0,0,0,0,6.2,7900,0,0,28,0,0.9,0,4,2,0,4,0,1,6.8,276096,0,0,0,0,888,7315,0,0,139,Brighton,Burnley,Bournemouth,Chelsea,Stoke,2.2,2.4,2.7,2.7,2.3,2.4,1.4,3.2,2.8,1.7,2.8,1.7,2.3,2.6,3,2.3,2.3,2,2.9,2.3,1.9,1.5,2.2,3.4,1.6,1.8,2.8,2.2,45.2
Cameron,Carter-Vickers,DEF,TOT,4500000,0,0,0,0,0,0,624,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,Crystal Palace,Arsenal,West Brom,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig,Cathcart,DEF,WAT,4400000,0,1,0.0333333333333333,7.57575757575758E-09,2.27272727272727E-07,0,839,0,0,0,0,0,0,0,0.2,10,-1,0,1,1,0,0,0,0,0,0,0,0,0,146,0,0,0,0,19,6,0,0,4,Everton,West Ham,Newcastle,Man Utd,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Santiago,Cazorla,MID,ARS,6900000,0,0,0,0,0,0,1549,0,0,0,0,0,0,0,0,33,-1,0,0,1,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,13,0,0,0,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petr,Cech,GLK,ARS,5400000,2,38,3.8,7.03703703703704E-07,7.03703703703704E-06,0,125298,0,13,0,21,0,0,0,7,6143,-1,1,38,1,0.2,0,1.3,3,0,4,0,0,5.5,65581,0,0,0,0,900,371,-1,0,179,Man City,Tottenham,Burnley,Huddersfield,Man Utd,1.9,4.6,2.7,5.6,4.8,3,2.5,5.5,5.6,3.3,2.8,4.4,2.6,5.7,2.4,4.6,2.8,4,2.8,4.8,1.9,5,4.7,2.1,5.7,1.9,5.2,2.7,19
,Cedric,DEF,SOU,5000000,2,32,3.2,6.4E-07,6.4E-06,0,350117,0,10,0,0,0,0,0,6.4,7895,0,0,32,0,0.6,0,3,0,0,4,0,0,8.6,213192,0,0,0,0,892,3470,0,0,158,Burnley,Liverpool,Everton,Man City,Bournemouth,3.2,2.6,2.7,2.6,3.3,3.7,2.7,3.7,3.7,3.5,2.2,4.4,4.5,2.7,3.6,3.5,3.6,3.5,3.1,2.9,3.2,3.2,2.3,2.5,2.4,3.2,2.6,2.1,39.7
Nacer,Chadli,MID,WBA,5700000,0,12,0.4,7.01754385964912E-08,2.10526315789474E-06,0,31703,1,1,0,0,0,1,0,2.1,617,-3,0,12,3,0.7,0,4,3,0,1,0,0,0.3,8650,0,0,0,1,159,347,0,0,26,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.4
Nathaniel,Chalobah,MID,WAT,4400000,0,12,0.4,9.09090909090909E-08,2.72727272727273E-06,0,156922,1,7,0,0,0,0,0,2.7,2907,-1,0,12,1,0,0,0,0,0,3,0,0,1.4,123749,0,0,0,0,429,91,0,0,37,Everton,West Ham,Newcastle,Man Utd,Tottenham,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.6
,Chamberlain,MID,LIV,5700000,1,13,0.433333333333333,7.60233918128655E-08,2.28070175438596E-06,0,194040,0,13,0,0,0,0,0,2.3,2284,-3,0,13,3,0.2,0,1,0,0,0,0,0,1.6,87385,0,0,0,0,409,449,0,0,97,West Ham,Southampton,Chelsea,Stoke,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,36.7
Calum,Chambers,DEF,ARS,4700000,0,0,0,0,0,0,17612,0,0,0,0,0,0,0,0,93,-3,0,0,3,0,0,0,0,0,0,0,0,0.2,1682,0,0,0,0,0,11,0,0,0,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chicharito,FWD,WHU,6900000,9,39,3.9,5.65217391304348E-07,5.65217391304348E-06,0,1349147,3,18,0,0,0,4,0,5.7,14182,-1,0,39,1,0.6,0,4,6,0,4,0,0,13.4,999220,0,0,0,2,829,13151,0,0,126,Liverpool,Watford,Leicester,Everton,Man City,5.4,4.6,5,4.2,2.9,3.5,5.4,4.1,5.2,4,2.9,5.3,3,5.4,5.8,3.4,4.2,2.6,3.4,4.5,4.5,4.1,3.3,5.5,2.1,4,3,5.8,57.2
Benjamin,Chilwell,DEF,LEI,4300000,6,10,0.333333333333333,7.75193798449612E-08,2.32558139534884E-06,0,14298,0,4,0,0,0,0,0,2.3,304,-2,0,10,2,0.5,0,2.3,0,0,1,0,0,0.3,6663,0,0,0,0,278,2640,0,0,57,Stoke,Man City,West Ham,Tottenham,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.8
Eric Maxim,Choupo-Moting,MID,STK,5700000,2,39,3.9,6.84210526315789E-07,6.84210526315789E-06,0,222340,1,19,0,0,0,2,0,6.8,12353,2,0,39,-2,0.5,0,3,3,0,2,0,2,6.2,499736,0,0,0,1,828,4480,0,0,89,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,4.7,3.1,3.7,4.7,4.6,3.4,3.6,5,4.5,3.5,4,5,2.3,4.7,3,4.1,4.1,3.5,4,2.7,5.6,2.6,3.4,3.6,4.3,2.6,5,4.8,69.6
Andreas,Christensen,DEF,CHE,5500000,0,13,0.433333333333333,7.87878787878788E-08,2.36363636363636E-06,0,10431,0,5,0,0,0,0,0,2.4,461,0,0,13,0,0,0,0,0,0,1,0,0,0.2,9873,0,0,0,0,345,88,0,0,77,Man Utd,West Brom,Liverpool,Swansea,Newcastle,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,11.8
Ciaran,Clark,DEF,NEW,4500000,0,29,4.1,9.11111111111111E-07,6.44444444444444E-06,0,118018,1,6,0,0,0,1,0,6.4,6201,0,0,29,0,0,0,0,3,0,2,0,0,2.6,188771,0,0,0,1,630,506,0,0,126,Bournemouth,Man Utd,Watford,West Brom,Chelsea,5.4,2.3,5.1,3.9,4.1,4.8,4.9,2.4,3.5,4.1,5.9,3.6,4.3,2.8,5.5,4.3,5,3.6,2.8,4.9,3.9,6,2.5,6.1,2.7,6.1,5.2,4.6,23.6
Jordy,Clasie,MID,SOU,4400000,0,0,0,0,0,0,16560,0,0,0,0,0,0,0,0,129,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3937,0,0,0,0,0,9,0,0,0,Burnley,Liverpool,Everton,Man City,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom,Cleverley,MID,WAT,5000000,2,34,3.4,6.8E-07,6.8E-06,0,27755,0,16,0,0,0,1,0,6.8,3487,0,0,34,0,0.9,0,4.7,3,0,3,0,1,1.3,76816,0,0,0,1,873,3621,0,0,156,Everton,West Ham,Newcastle,Man Utd,Tottenham,4.5,3.3,3.4,2.3,1.9,3.6,3.7,3,3.1,3,2.9,2.5,2.1,3.5,3.5,2,3.6,3.9,2.8,2.7,2.7,3.1,2.6,3.5,3.2,3.4,3.3,2.4,43.3
Sam,Clucas,MID,SWA,4900000,7,18,2.6,5.30612244897959E-07,3.6734693877551E-06,0,3354,0,5,0,0,0,1,0,3.7,106,-1,0,18,1,0.6,0,2.7,0,0,2,0,0,0,4789,0,0,0,0,414,479,0,0,72,Brighton,Burnley,Bournemouth,Chelsea,Stoke,1.9,2.2,2.4,2.4,2.1,2.2,1.3,2.9,2.5,1.5,2.5,1.5,2,2.3,2.7,2.1,2,1.8,2.6,2.1,1.7,1.3,1.9,3,1.4,1.6,2.5,2,14.2
Nathaniel,Clyne,DEF,LIV,5300000,0,0,0,0,0,0,25339,0,0,0,0,0,0,0,0,181,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,977,0,0,0,0,0,23,0,0,0,West Ham,Southampton,Chelsea,Stoke,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Colback,MID,NEW,4300000,0,0,0,0,0,0,46048,0,0,0,0,0,0,0,0,3132,-2,0,0,2,0,0,0,0,0,0,0,0,1.2,56878,0,0,0,0,0,5806,0,0,0,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel,Coleman,GLK,HUD,4000000,0,0,0,0,0,0,35386,0,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,0,0,0,0,0,1.6,16186,0,0,0,0,0,179,0,0,0,West Brom,Bournemouth,Man City,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seamus,Coleman,DEF,EVE,6400000,0,0,0,0,0,0,7213,0,0,0,0,0,0,0,0,82,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,572,0,0,0,0,0,19,0,0,0,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,Collins,DEF,WHU,4300000,0,8,0.266666666666667,6.2015503875969E-08,1.86046511627907E-06,0,13920,0,3,0,0,0,0,0,1.9,200,-2,0,8,2,0,0,0,0,0,1,0,0,0.2,6488,0,0,0,0,237,20,0,0,44,Liverpool,Watford,Leicester,Everton,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.7
Francis,Coquelin,MID,ARS,4400000,0,3,0.1,2.27272727272727E-08,6.81818181818182E-07,0,27613,0,3,0,0,0,0,0,0.7,605,-1,0,3,1,0.1,0,0.3,0,0,0,0,0,0.6,10353,0,0,0,0,76,323,0,0,11,Man City,Tottenham,Burnley,Huddersfield,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
Jack,Cork,MID,BUR,4500000,2,23,2.3,5.11111111111111E-07,5.11111111111111E-06,0,141348,4,9,0,0,0,0,0,5.1,4483,0,0,23,0,0.4,0,1.7,0,0,4,0,1,3.4,258308,0,0,0,0,900,672,0,0,143,Southampton,Swansea,Arsenal,Bournemouth,Leicester,1.8,2.1,2.5,1.9,1.5,1.2,1.9,1.3,1.4,1.2,1.5,2.2,1.6,1.7,1.4,1.2,2.2,1.6,2.8,1.5,1.5,1.4,1.8,2.2,1.5,1.8,1.2,2.3,38.1
,Costa,FWD,CHE,9500000,0,0,0,0,0,0,63903,0,0,0,0,0,0,0,0,205,-5,0,0,5,0,0,0,0,0,0,0,0,0.4,2282,0,0,0,0,0,5,0,0,0,Man Utd,West Brom,Liverpool,Swansea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thibaut,Courtois,GLK,CHE,5400000,6,40,4,7.40740740740741E-07,7.40740740740741E-06,0,339590,0,10,0,25,0,0,0,7.4,9801,-1,0,40,1,0.6,0,3.3,2,0,4,0,0,12.7,133178,0,0,0,0,900,2045,0,0,186,Man Utd,West Brom,Liverpool,Swansea,Newcastle,3.8,4.9,3.8,3.1,4.6,4.6,4.8,3.7,3.8,4.8,4.1,3.4,3.6,4.9,4.2,6,4.9,3.3,3.8,5.4,4.9,3.7,4.9,5.2,4.8,4.5,4.8,4.1,17.7
Philippe,Coutinho,MID,LIV,8900000,0,30,1,1.12359550561798E-07,3.37078651685393E-06,0,545697,0,8,0,0,0,2,0,3.4,58389,-1,1,30,1,0.2,0,1.7,6,0,1,0,1,7.2,588343,0,0,0,1,414,2082,-1,0,122,West Ham,Southampton,Chelsea,Stoke,Brighton,0,0,0.5,0.5,0.5,0.9,0.6,0.5,0.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.5,58.6
Martin,Cranie,DEF,HUD,4000000,0,0,0,0,0,0,6860,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0.2,5880,0,0,0,0,0,206,0,0,0,West Brom,Bournemouth,Man City,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Cresswell,DEF,WHU,5000000,4,30,3.3,6.6E-07,6E-06,0,37819,0,12,0,0,0,0,0,6,1596,0,0,30,0,0.4,0,2,3,0,3,0,1,1.1,62102,0,0,0,0,684,830,0,0,138,Liverpool,Watford,Leicester,Everton,Man City,4.4,4,3.5,2,2,3.3,4.5,2.6,4.3,2.7,2.9,4.5,2.8,4,4.9,2.9,3.7,2,2.5,4,3.6,3.6,3,3.9,1.8,2.9,1.8,3.5,35.5
Peter,Crouch,FWD,STK,4900000,0,16,0.533333333333333,1.08843537414966E-07,3.26530612244898E-06,0,114462,1,3,0,0,0,2,0,3.3,4277,-1,0,16,1,0.1,0,0.3,3,0,0,0,0,1.5,65389,0,0,0,0,132,196,0,0,63,Leicester,Brighton,Crystal Palace,Liverpool,Swansea,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21
Charlie,Daniels,DEF,BOU,4900000,2,31,3.1,6.3265306122449E-07,6.3265306122449E-06,0,499656,0,14,0,0,0,1,0,6.3,7331,-1,0,31,1,0.4,0,2,2,0,1,0,1,9.2,98849,0,0,0,0,900,3457,0,0,172,Newcastle,Huddersfield,Swansea,Burnley,Southampton,2.4,3.9,2.6,3.5,3,3.7,1.8,3.8,2.1,3.9,3,2.9,4,2.7,3.1,3.3,2.9,3.7,2,3,4,4,4.6,2.1,3.1,3.2,2.5,2.9,38.4
,Danilo,DEF,MCI,5200000,0,24,4,7.69230769230769E-07,4.61538461538462E-06,0,271008,1,1,0,0,0,0,0,4.6,6065,-3,0,24,3,0,0,0,0,0,3,0,1,2.3,146038,0,0,0,0,334,345,0,0,102,Arsenal,Leicester,Huddersfield,Southampton,West Ham,5.4,3.2,4.4,4.2,5.3,2.9,4.1,4.2,4.7,3.7,4.9,4.4,3.4,5.1,5.4,4.5,4.1,3.1,3.8,4.2,5.2,3.4,4.3,4.5,3.6,4.2,5.3,4.8,18.5
Scott,Dann,DEF,CRY,4700000,0,10,1.1,2.34042553191489E-07,2.12765957446809E-06,0,46675,3,17,0,0,0,0,0,2.1,631,-3,0,10,3,0.2,0,1,0,0,0,0,0,0.5,11409,0,0,0,0,810,123,0,0,117,Tottenham,Everton,Stoke,Brighton,West Brom,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.9,0.6,0.6,0.7,0.6,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.9,0.8,0.6,0.6,0.9,38.5
Karl,Darlow,GLK,NEW,4400000,0,0,0,0,0,0,11381,0,0,0,0,0,0,0,0,92,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,651,0,0,0,0,0,25,0,0,0,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matteo,Darmian,DEF,MUN,5100000,1,8,0.266666666666667,5.22875816993464E-08,1.56862745098039E-06,0,27894,0,2,0,0,0,0,0,1.6,305,-4,0,8,4,0.5,0,2.3,0,0,1,0,0,0.3,4751,0,0,0,0,181,118,0,0,42,Chelsea,Newcastle,Brighton,Watford,Arsenal,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
,David Luiz,DEF,CHE,5900000,6,29,3.6,6.10169491525424E-07,4.91525423728814E-06,0,886635,2,9,0,0,0,1,0,4.9,6952,-1,0,29,1,0.5,0,2.7,0,0,3,0,1,13.1,300190,0,0,0,0,716,5120,0,1,165,Man Utd,West Brom,Liverpool,Swansea,Newcastle,3.2,4.2,3.2,2.6,4,4,4.1,3.1,3.2,4.1,3.5,2.9,3,4.2,3.6,5.3,4.3,2.8,3.2,4.8,4.2,3.1,4.2,4.5,4.2,3.9,4.1,3.5,26.3
,David Silva,MID,MCI,8500000,2,56,5.6,6.58823529411765E-07,6.58823529411765E-06,0,557153,1,6,0,0,0,1,0,6.6,87417,5,1,56,-5,0.5,0,4,8,0,6,0,6,24.9,1510040,0,0,0,2,872,7177,-1,0,221,Arsenal,Leicester,Huddersfield,Southampton,West Ham,8.2,6.3,6.2,6.1,7.9,4.5,7.8,5.6,7.7,6.1,6.6,5.1,4.9,7.9,7.2,6.4,7.5,5,5.8,6.3,6.7,7,6.4,6.1,7.2,6.4,7.5,6.9,104.4
Ben,Davies,DEF,TOT,5800000,2,51,7.3,1.25862068965517E-06,8.79310344827586E-06,0,670149,1,5,0,0,0,2,0,8.8,14056,3,0,51,-3,0.1,0,0.7,6,0,3,0,3,19.9,1279055,0,0,0,3,619,30932,0,0,191,Crystal Palace,Arsenal,West Brom,Leicester,Watford,10.3,8.1,10.2,8.3,11,9.7,10.1,8.7,9.8,8.9,10.5,9.9,9.3,10.5,9.5,8.7,11,9.3,10.3,9.7,10.7,10.8,9.7,8,9.5,8.3,9.3,9.3,62.3
Tom,Davies,MID,EVE,5300000,1,17,1.7,3.20754716981132E-07,3.20754716981132E-06,0,46771,3,10,0,0,0,0,0,3.2,1297,-2,0,17,2,0.2,0,1,0,0,1,0,2,0.6,28407,0,0,0,0,437,342,0,0,62,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0.8,0.9,1,1.6,1.4,0.8,0.8,1.4,0.9,0.8,1,1.1,0.8,1.3,1.4,0.8,1.6,1,0.8,1.2,0.8,0.8,1.4,1.3,1.6,0.8,1,0.8,15.4
Steven,Davis,MID,SOU,5100000,10,42,4.2,8.23529411764706E-07,8.23529411764706E-06,0,158828,0,7,0,0,0,2,0,8.2,4860,1,0,42,-1,0.9,0,4.7,6,0,4,0,1,4.5,356698,0,0,0,2,774,13898,0,0,195,Burnley,Liverpool,Everton,Man City,Bournemouth,4.2,3.4,5.7,3.1,5.1,5.3,4.7,5,4.7,4.3,3.1,5,5.1,3.3,4.1,4.1,4.7,4.5,4.1,4.3,5.7,4.5,3.5,3.4,4.4,4.9,5.5,2.6,53.9
Craig,Dawson,DEF,WBA,4900000,0,27,3,6.12244897959184E-07,5.51020408163265E-06,0,228154,1,10,0,0,0,0,0,5.5,13014,-1,1,27,1,0.3,0,1.3,1,0,3,0,0,2.5,81054,0,0,0,0,810,22,-1,0,144,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,2.4,3,3.9,2.3,3.8,1.8,1.8,3,2.7,3.9,3.6,2.9,2.4,3.5,2.6,1.5,3.8,2,3,3.3,25.3
Kevin,De Bruyne,MID,MCI,10100000,2,54,5.4,5.34653465346535E-07,5.34653465346535E-06,0,1020406,0,6,0,0,0,1,0,5.3,26264,1,0,54,-1,0.6,0,5.7,5,0,6,0,6,20.2,638551,0,0,0,1,839,13725,0,0,241,Arsenal,Leicester,Huddersfield,Southampton,West Ham,7.8,6,5.9,5.8,7.6,4.2,7.5,5.3,7.3,5.8,6.3,4.8,4.6,7.5,6.8,6.1,7.2,4.7,5.5,5.9,6.3,6.8,6.1,5.8,6.9,6.1,7.2,6.6,101.4
David,de Gea,GLK,MUN,5700000,9,61,6.1,1.07017543859649E-06,1.07017543859649E-05,0,347690,0,4,0,26,0,0,0,10.7,6236,2,-1,61,-2,1.1,0,6.3,5,0,8,0,0,39.4,546615,0,0,0,0,900,25308,1,0,231,Chelsea,Newcastle,Brighton,Watford,Arsenal,7.3,9.1,9.1,8.3,4.7,7.3,9.1,6.3,4.9,9.1,8.4,5.2,8.9,6.7,6.9,9.1,5.8,8,6.3,9.1,6.2,7.6,5.2,9.1,6.6,9.1,6.5,8.1,18.6
Siem,de Jong,MID,NEW,4900000,0,0,0,0,0,0,9153,0,0,0,0,0,0,0,0,33,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,509,0,0,0,0,0,0,0,0,0,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy,Deeney,FWD,WAT,6300000,1,18,2.3,3.65079365079365E-07,2.85714285714286E-06,0,36147,1,7,0,0,0,1,0,2.9,3305,-2,0,18,2,0.5,0,3,1,0,0,0,1,0.6,24911,0,0,0,0,319,924,0,0,64,Everton,West Ham,Newcastle,Man Utd,Tottenham,0,0,0,1.3,1.2,1.9,2.7,1.6,2.1,1.6,1.2,1.8,1.2,1.9,2.6,1.2,1.9,2.2,1.8,1.3,1.7,1.8,1.3,1.9,2.4,1.9,1.7,1.4,26.6
Jermain,Defoe,FWD,BOU,7600000,1,19,2.1,2.76315789473684E-07,2.5E-06,0,171432,0,7,0,0,0,1,0,2.5,1830,-4,1,19,4,0.1,0,0.7,1,0,2,0,0,1.7,32856,0,0,0,0,491,493,-1,0,62,Newcastle,Huddersfield,Swansea,Burnley,Southampton,1.2,1.9,1.5,1.6,1.4,2,1,2.2,1.2,2,2.5,1.4,2.1,1.3,1.4,2.2,1.2,2,1.3,1.2,2.1,2.1,2.7,1.1,1.6,1.5,1.4,1.3,26.7
Steven,Defour,MID,BUR,5500000,3,25,2.5,4.54545454545455E-07,4.54545454545455E-06,0,17227,2,8,0,0,0,0,0,4.5,365,0,0,25,0,0.4,0,2,0,0,4,0,1,0.4,15559,0,0,0,0,839,94,0,0,140,Southampton,Swansea,Arsenal,Bournemouth,Leicester,2,2.4,2.8,2.1,1.7,1.4,2.1,1.5,1.6,1.2,1.7,2.5,1.9,2,1.6,1.2,2.5,1.8,3.1,1.8,1.7,1.6,2.1,2.5,1.7,2.1,1.2,2.6,30.3
Damien,Delaney,DEF,CRY,4200000,0,0,0,0,0,0,17314,0,4,0,0,0,0,0,0,205,-3,1,0,3,0,0,0,0,0,0,0,0,0.3,1830,0,0,0,0,90,151,-1,0,19,Tottenham,Everton,Stoke,Brighton,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Fabian,Delph,MID,MCI,4500000,2,19,0.633333333333333,1.40740740740741E-07,4.22222222222222E-06,0,30163,0,4,0,0,0,1,0,4.2,2942,0,0,19,0,0.7,0,3.3,0,0,2,0,1,1,65317,0,0,0,0,380,2210,0,0,107,Arsenal,Leicester,Huddersfield,Southampton,West Ham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.8
Mousa,Dembele,MID,TOT,4900000,1,9,0.3,6.12244897959184E-08,1.83673469387755E-06,0,136615,0,4,0,0,0,0,0,1.8,866,-1,0,9,1,0.1,0,0.3,0,0,1,0,0,1.7,64300,0,0,0,0,316,867,0,0,64,Crystal Palace,Arsenal,West Brom,Leicester,Watford,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,16.5
