FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Vincent,Kompany,DEF,MCI,5900000,0,8,0.380952380952381,6.45682001614205E-08,1.35593220338983E-06,0,198051,2,2,0,0,0,0,0,1.4,7223,-1,0,8,1,0,0,0,0,0,1,0,0,2.6,41386,0,0,0,0,270,53,0,0,45,Stoke,Burnley,West Brom,Arsenal,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,10.8
Laurent,Koscielny,DEF,ARS,6000000,0,19,0.904761904761905,1.50793650793651E-07,3.16666666666667E-06,0,24274,0,4,0,0,0,0,0,3.2,5520,0,0,19,0,0.8,0,4.8,1,0,3,0,0,1,24051,0,0,0,0,360,149,0,0,106,Watford,Everton,Swansea,Man City,Tottenham,0,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.7,0.8,0.5,0.5,0.5,0.5,1.2,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.7,0.6,0.5,1,0.5,0.5,0.5,15.1
Cheikhou,Kouyate,MID,WHU,5000000,2,17,3.4,6.8E-07,3.4E-06,0,8152,1,5,0,0,0,1,0,3.4,2317,0,0,17,0,0.8,0,4,1,0,3,0,0,0.6,35062,0,0,0,0,379,2988,0,0,69,Burnley,Brighton,Crystal Palace,Liverpool,Watford,2.1,4.5,2.6,4.4,2.3,4.7,2.4,1.7,3.6,5.1,1.7,4.6,2.1,2.3,4.2,1.8,5.1,4.8,1.7,2.8,1.7,3.5,3.7,3.1,3.5,2.5,4.3,1.7,2.9,1.9,5.1,12
Tim,Krul,GLK,BHA,4000000,0,0,0,0,0,0,8377,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0.8,40866,0,0,0,0,0,3631,0,0,0,Everton,West Ham,Southampton,Swansea,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grzegorz,Krychowiak,MID,WBA,5000000,6,12,0.571428571428571,1.14285714285714E-07,2.4E-06,0,3998,1,7,0,0,0,0,0,2.4,405,0,0,12,0,0.6,0,3,1,0,1,0,1,0.2,13507,0,0,0,0,360,2102,0,0,70,Leicester,Southampton,Man City,Huddersfield,Chelsea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,10.9
Alexandre,Lacazette,FWD,ARS,10400000,2,32,4.6,4.42307692307692E-07,3.07692307692308E-06,0,562321,0,5,0,0,0,4,0,3.1,39877,-1,0,32,1,0.6,0,5.8,3,0,4,0,0,14.9,456012,0,0,0,1,487,43103,0,0,136,Watford,Everton,Swansea,Man City,Tottenham,3.5,2.8,5.2,2.3,4.6,2.4,5.9,5.8,2.8,2.3,6.6,6.9,3.3,2.3,4.9,2.6,6.9,2.9,6.9,2.7,5.3,2.3,5.4,2.3,6.9,5.3,2.3,6.9,2.3,5.7,2.3,54.2
Olayinka Fredrick Oladotun,Ladapo,FWD,CRY,4500000,1,1,1,2.22222222222222E-07,2.22222222222222E-07,0,31358,0,1,0,0,0,0,0,0.2,4655,0,0,1,0,0.1,0,0.3,0,0,0,0,0,1.3,83712,0,0,0,0,16,16998,0,0,3,Chelsea,Newcastle,West Ham,Tottenham,Everton,0.5,0.5,0.7,0.5,0.7,0.7,0.5,0.5,0.7,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.5,0.7,0.7,0.6,0.5,0.5,0.2
Adam,Lallana,MID,LIV,7400000,0,0,0,0,0,0,30386,0,0,0,0,0,0,0,0,379,-1,0,0,1,0,0,0,0,0,0,0,0,0.3,1161,0,0,0,0,0,60,0,0,0,Man Utd,Tottenham,Huddersfield,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik,Lamela,MID,TOT,6400000,0,0,0,0,0,0,2595,0,0,0,0,0,0,0,0,69,-1,0,0,1,0,0,0,0,0,0,0,0,0,556,0,0,0,0,0,24,0,0,0,Bournemouth,Liverpool,Man Utd,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel,Lanzini,MID,WHU,6800000,1,2,0.0952380952380952,1.40056022408964E-08,2.94117647058824E-07,0,42711,0,2,0,0,0,0,0,0.3,486,-2,0,2,2,0,0,0.3,0,0,0,0,0,0.5,7084,0,0,0,0,73,715,0,0,13,Burnley,Brighton,Crystal Palace,Liverpool,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Jamaal,Lascelles,DEF,NEW,4700000,2,34,4.9,1.04255319148936E-06,7.23404255319149E-06,0,105633,2,6,0,0,0,2,0,7.2,17472,2,0,34,-2,1.4,0,6.5,3,0,2,0,0,11.1,554618,0,0,0,1,623,18838,0,0,131,Southampton,Crystal Palace,Burnley,Bournemouth,Man Utd,6.7,6.9,5.8,6.9,3.5,6,5.6,5.9,5.9,6.4,3,4.3,4.6,7.4,4.8,5.1,4,6,6,5.3,4.7,4.1,6.1,6.7,6.7,3.8,7.4,4.2,7.4,7.2,5.4,29.3
,Lee Chung-yong,MID,CRY,4400000,0,3,0.142857142857143,3.24675324675325E-08,6.81818181818182E-07,0,19059,0,2,0,0,0,0,0,0.7,1223,-1,0,3,1,0.1,0,0.5,0,0,0,0,0,0.7,40195,0,0,0,0,109,414,0,0,8,Chelsea,Newcastle,West Ham,Tottenham,Everton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.2
Adam,Legzdins,GLK,BUR,4000000,0,0,0,0,0,0,1126,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5438,0,0,0,0,0,469,0,0,0,West Ham,Man City,Newcastle,Southampton,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florian,Lejeune,DEF,NEW,4400000,0,1,0.0476190476190476,1.08225108225108E-08,2.27272727272727E-07,0,25882,0,0,0,0,0,0,0,0.2,379,-1,0,1,1,0,0,0,0,0,0,0,0,0.2,1265,0,0,0,0,33,36,0,0,4,Southampton,Crystal Palace,Burnley,Bournemouth,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
Jonathan,Leko,MID,WBA,4500000,0,0,0,0,0,0,3292,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0.1,558,0,0,0,0,0,6,0,0,0,Leicester,Southampton,Man City,Huddersfield,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario,Lemina,MID,SOU,5000000,2,12,0.571428571428571,1.14285714285714E-07,2.4E-06,0,10402,0,4,0,0,0,0,0,2.4,787,0,0,12,0,0.4,0,1.8,0,0,2,0,0,0.3,14872,0,0,0,0,392,893,0,0,85,Newcastle,West Brom,Brighton,Burnley,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.4
Aaron,Lennon,MID,EVE,5400000,0,1,0.0476190476190476,8.81834215167548E-09,1.85185185185185E-07,0,3707,0,0,0,0,0,0,0,0.2,200,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,1181,0,0,0,0,7,65,0,0,4,Brighton,Arsenal,Leicester,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3
,Lewis Cook,MID,BOU,4400000,3,3,0.142857142857143,3.24675324675325E-08,6.81818181818182E-07,0,22867,0,0,0,0,0,0,0,0.7,1667,-1,0,3,1,0.2,0,0.8,0,0,1,0,0,0.9,16575,0,0,0,0,90,3542,0,0,23,Tottenham,Stoke,Chelsea,Newcastle,Huddersfield,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.4
Anders,Lindegaard,GLK,BUR,4000000,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,0,0,0,0,0,1425,0,0,0,West Ham,Man City,Newcastle,Southampton,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor,Lindelof,DEF,MUN,5000000,0,0,0,0,0,0,230641,0,0,0,0,0,0,0,0,2451,-5,0,0,5,0,0,0,0,0,0,0,0,1.1,7654,0,0,0,0,0,159,0,0,0,Liverpool,Huddersfield,Tottenham,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse,Lingard,MID,MUN,5900000,1,11,0.523809523809524,8.87812752219532E-08,1.86440677966102E-06,0,12853,0,0,0,0,0,0,0,1.9,742,-1,0,11,1,0.3,0,1.5,0,0,0,0,2,0.3,6056,0,0,0,0,75,370,0,0,33,Liverpool,Huddersfield,Tottenham,Chelsea,Newcastle,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,13.7
Jake,Livermore,MID,WBA,5000000,0,12,2,4E-07,2.4E-06,0,8333,1,6,0,0,0,0,0,2.4,399,0,0,12,0,0.2,0,1,0,0,2,0,0,0.2,5540,0,0,0,0,430,50,0,0,47,Leicester,Southampton,Man City,Huddersfield,Chelsea,1.2,1.6,1,1.2,1.3,1.5,1.9,2.1,2.2,1,1.1,1,2.4,2.8,1,1.9,1.5,1,1.3,1.5,1.5,1.5,2,1.3,1.4,1.8,1,1.8,1.1,1,1.6,10.7
Fernando,Llorente,FWD,TOT,7400000,0,1,0.5,6.75675675675676E-08,1.35135135135135E-07,0,8834,1,0,0,0,0,0,0,0.1,608,-1,0,1,1,0,0,0.3,0,0,0,0,0,0.1,5020,0,0,0,0,17,404,0,0,3,Bournemouth,Liverpool,Man Utd,Crystal Palace,Arsenal,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.7
Hugo,Lloris,GLK,TOT,5500000,6,29,4.1,7.45454545454545E-07,5.27272727272727E-06,0,173547,0,5,0,9,0,0,0,5.3,10562,0,0,29,0,0.9,0,4.8,0,0,4,0,0,12.1,102650,0,0,0,0,630,3403,0,0,132,Bournemouth,Liverpool,Man Utd,Crystal Palace,Arsenal,3.9,4.2,3.8,4.3,3.4,4.4,4,6.1,4,5.1,4.2,5.6,3.2,5.1,5.9,3.4,6.1,2.6,4.3,5.1,6.1,3.7,4.8,3.7,5.8,4.9,2.1,5.4,3.1,5.5,3,8.7
Ruben,Loftus-Cheek,MID,CRY,4500000,0,8,0.380952380952381,8.46560846560847E-08,1.77777777777778E-06,0,327383,0,10,0,0,0,0,0,1.8,16837,0,0,8,0,0.2,0,1,0,0,0,0,0,6.3,130495,0,0,0,0,347,2204,0,0,61,Chelsea,Newcastle,West Ham,Tottenham,Everton,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.8
Jason,Lokilo,MID,CRY,4400000,0,0,0,0,0,0,9827,0,0,0,0,0,0,0,0,788,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,11357,0,0,0,0,0,798,0,0,0,Chelsea,Newcastle,West Ham,Tottenham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Lolley,MID,HUD,4400000,0,0,0,0,0,0,2498,0,0,0,0,0,0,0,0,170,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,2412,0,0,0,0,0,279,0,0,0,Swansea,Man Utd,Liverpool,West Brom,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin,Long,DEF,BUR,4000000,0,0,0,0,0,0,68462,0,0,0,0,0,0,0,0,4313,0,0,0,0,0,0,0,0,0,0,0,0,2.2,28644,0,0,0,0,0,970,0,0,0,West Ham,Man City,Newcastle,Southampton,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane,Long,FWD,SOU,5800000,5,10,1.7,2.93103448275862E-07,1.72413793103448E-06,0,21705,2,3,0,0,0,0,0,1.7,850,-2,0,10,2,0.3,0,2,0,0,1,0,1,0.4,8058,0,0,0,0,319,2226,0,0,18,Newcastle,West Brom,Brighton,Burnley,Liverpool,0.9,1,1.3,0.8,1.1,1.3,1.1,1.4,1.5,1,1.3,0.8,1.5,0.9,1.5,1.8,0.8,1.3,1.2,1.3,1.3,1.3,1.1,1.5,0.9,0.8,0.8,1.2,1.3,1.5,0.8,22.3
Ademola,Lookman,MID,EVE,5200000,0,0,0,0,0,0,6172,0,0,0,0,0,0,0,0,157,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,656,0,0,0,0,0,46,0,0,0,Brighton,Arsenal,Leicester,Watford,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas,Lossl,GLK,HUD,4600000,1,34,4.9,1.06521739130435E-06,7.39130434782609E-06,0,102842,0,7,0,19,0,0,0,7.4,10202,1,0,34,-1,0.6,0,2.8,3,0,4,0,0,8.9,351385,0,0,0,1,630,5839,0,0,151,Swansea,Man Utd,Liverpool,West Brom,Bournemouth,6.6,4.9,4.7,7,5.3,4.2,3.5,4.7,7.4,5,7.4,7.2,6.6,5.6,4.3,7.4,5.4,6.8,4.1,6.5,6.1,7.1,4.7,6.5,5.3,5.8,5.6,6.5,6,4.6,7.4,14.1
Dejan,Lovren,DEF,LIV,5400000,2,9,1.8,3.33333333333333E-07,1.66666666666667E-06,0,57463,2,6,0,0,0,0,0,1.7,1838,-1,0,9,1,0.1,0,0.5,0,0,1,0,0,1,8912,0,0,0,0,361,148,0,0,60,Man Utd,Tottenham,Huddersfield,West Ham,Southampton,0,1.3,1.8,0.9,1.5,1.3,0.9,0.9,1.6,2.1,0.9,0.9,1.2,1.4,1,1,1.1,1,1.2,1.3,2.4,1.8,0.9,1.5,1.9,0.9,1.8,0.9,1.9,1,2.3,13.6
Chris,Lowe,DEF,HUD,4500000,0,32,4.6,1.02222222222222E-06,7.11111111111111E-06,0,61520,0,4,0,0,0,0,0,7.1,10067,0,0,32,0,0.8,0,3.5,0,0,5,0,0,4.1,211828,0,0,0,0,571,10601,0,0,132,Swansea,Man Utd,Liverpool,West Brom,Bournemouth,6.1,4.4,4.2,6.5,4.8,3.8,3.2,4.3,6.9,4.5,6.9,6.7,6.1,5.1,3.9,6.9,4.9,6.3,3.7,6,5.6,6.6,4.3,6.1,4.8,5.5,5.1,5.9,5.5,4.1,6.9,12.4
Matthew,Lowton,DEF,BUR,4500000,6,28,4,8.88888888888889E-07,6.22222222222222E-06,0,21021,0,5,0,0,0,0,0,6.2,1394,0,0,28,0,1.1,0,5,0,0,3,0,1,1.2,28025,0,0,0,0,630,3494,0,0,127,West Ham,Man City,Newcastle,Southampton,Swansea,5.7,3.6,4.4,5.8,3.1,5.7,4.2,3.4,3.8,4.7,4.8,3.3,3.2,5,4.9,5.6,3.3,4.2,2.7,5.3,3.9,4.1,3.8,3.3,4.9,6,3.7,4.2,5.7,2.8,4.6,20
Leiva,Lucas,MID,LIV,4500000,0,0,0,0,0,0,879,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,9,0,0,0,Man Utd,Tottenham,Huddersfield,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romelu,Lukaku,FWD,MUN,11800000,6,50,7.1,6.01694915254237E-07,4.23728813559322E-06,0,427622,1,2,0,0,0,7,0,4.2,47075,3,0,50,-3,0.7,1,7.8,8,0,6,0,1,60.4,981207,0,0,0,2,630,56691,0,0,189,Liverpool,Huddersfield,Tottenham,Chelsea,Newcastle,7.6,8.1,7.2,8.7,10.3,10.6,10.5,5.4,8.3,10.6,8.1,8.2,9,8.4,8.1,10.6,8.9,9.4,9.2,7.8,7.7,8.9,10.6,6.9,8.1,7.7,10.5,8.1,10.6,7.8,8.5,91.8
Levi,Lumeka,MID,CRY,4500000,0,1,0.0476190476190476,1.05820105820106E-08,2.22222222222222E-07,0,167,0,0,0,0,0,0,0,0.2,29,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0,280,0,0,0,0,25,30,0,0,3,Chelsea,Newcastle,West Ham,Tottenham,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
Niki,Maenpaa,GLK,BHA,4000000,0,0,0,0,0,0,20517,0,0,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0,0,0,0,0,1.3,17485,0,0,0,0,0,1191,0,0,0,Everton,West Ham,Southampton,Swansea,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry,Maguire,DEF,LEI,5100000,6,33,4.7,9.2156862745098E-07,6.47058823529412E-06,0,147144,0,12,0,0,0,1,0,6.5,8265,1,0,33,-1,0.7,0,3.5,4,0,2,0,2,7,344789,0,0,0,1,630,9377,0,0,167,West Brom,Swansea,Everton,Stoke,Man City,7,5.7,6.1,4.5,4.4,3.9,5.1,5.7,4.4,6.4,6.7,5.1,6.8,3.8,6.4,5.6,5.7,3.9,4.9,3.7,6.7,6.6,5.2,7,5,6.4,5.4,5.8,5.7,7,6.3,30.6
Riyad,Mahrez,MID,LEI,8500000,1,25,3.6,4.23529411764706E-07,2.94117647058824E-06,0,192545,0,11,0,0,0,0,0,2.9,15977,0,0,25,0,0.2,0,1.8,2,0,1,0,3,3.9,185735,0,0,0,1,525,1417,0,0,84,West Brom,Swansea,Everton,Stoke,Man City,4.2,4.9,5.3,2.5,2.7,2.6,2.7,3.6,3,3.8,4.7,3,3.6,1.9,3.8,3.8,2.7,3.7,4.2,2.2,4.3,5.1,2.6,5.4,2.3,4.5,3.3,3.4,4,5.4,3.6,39.8
Ainsley,Maitland-Niles,MID,ARS,4500000,0,1,0.0476190476190476,1.05820105820106E-08,2.22222222222222E-07,0,227,0,0,0,0,0,0,0,0.2,75,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0,439,0,0,0,0,1,89,0,0,3,Watford,Everton,Swansea,Man City,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,Malone,DEF,HUD,4300000,1,1,0.0476190476190476,1.10741971207087E-08,2.32558139534884E-07,0,5159,0,3,0,0,0,0,0,0.2,130,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.1,1103,0,0,0,0,57,109,0,0,14,Swansea,Man Utd,Liverpool,West Brom,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
Sadio,Mane,MID,LIV,9400000,2,22,1.04761904761905,1.1144883485309E-07,2.34042553191489E-06,0,1127900,1,9,0,0,0,3,0,2.3,14694,-1,0,22,1,0,0,0,0,0,2,0,0,11.3,503909,0,0,0,0,362,9331,0,1,92,Man Utd,Tottenham,Huddersfield,West Ham,Southampton,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,1,0.7,0.5,0.5,0.7,0.8,0.5,0.5,0.6,0.5,0.5,0.5,1.1,0.8,0.5,0.5,0.5,0.5,0.9,0.5,0.7,0.5,0.8,41
Eliaquim,Mangala,DEF,MCI,5000000,0,1,0.0476190476190476,9.52380952380952E-09,2E-07,0,2911,0,0,0,0,0,0,0,0.2,325,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.1,2685,0,0,0,0,19,212,0,0,3,Stoke,Burnley,West Brom,Arsenal,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Javier,Manquillo,DEF,NEW,4400000,2,18,3.6,8.18181818181818E-07,4.09090909090909E-06,0,35755,0,4,0,0,0,0,0,4.1,1708,-1,1,18,1,0.5,0,2.3,1,0,2,0,0,0.9,17359,0,0,0,0,450,1602,-1,0,80,Southampton,Crystal Palace,Burnley,Bournemouth,Man Utd,4.5,5.1,3.7,4.6,2.1,3.9,3.5,3.8,3.8,4.2,1.8,2.6,2.8,5.4,3,3.2,2.4,3.9,4.4,3.4,2.9,2.5,4,4.4,4.4,2.3,5.4,2.5,5,4.8,3.4,16
Solomon,March,MID,BHA,5000000,2,23,3.3,6.6E-07,4.6E-06,0,11231,1,9,0,0,0,1,0,4.6,1719,0,0,23,0,0.8,0,4,0,0,2,0,1,0.5,26361,0,0,0,0,597,3989,0,0,96,Everton,West Ham,Southampton,Swansea,Stoke,4.9,1.9,3.2,4,3.9,1.6,4.4,4,2.3,2.8,3.3,2.5,3,2.3,4.7,1.9,3.2,3,4.9,1.9,3.9,4.9,2.9,1.6,4.3,3.6,3.1,2.5,2.5,2.8,1.6,36.6
Adrian,Mariappa,DEF,WAT,4000000,1,3,0.8,2E-07,7.5E-07,0,76161,0,9,0,0,0,0,0,0.8,4098,0,0,3,0,0.2,0,0.8,0,0,0,0,0,3.2,54182,0,0,0,0,299,6755,0,0,37,Arsenal,Chelsea,Stoke,Everton,West Ham,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.4,0.4,8.3
Dean,Marney,MID,BUR,4500000,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,20,0,0,0,West Ham,Man City,Newcastle,Southampton,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony,Martial,MID,MUN,8000000,4,30,1.42857142857143,1.78571428571429E-07,3.75E-06,0,105256,0,0,0,0,0,3,0,3.8,6507,0,0,30,0,0.3,0,2.8,1,0,1,0,2,2.4,130454,0,0,0,0,138,7376,0,0,110,Liverpool,Huddersfield,Tottenham,Chelsea,Newcastle,0.7,0.7,0.7,0.9,1.1,1.1,0.9,0.7,0.7,1.4,0.7,0.7,0.8,0.7,0.9,1,0.8,0.9,0.9,0.7,0.7,1,1,0.7,1,0.7,1,0.8,1.8,0.7,0.7,40.8
Cuco,Martina,DEF,EVE,4300000,2,5,1,2.32558139534884E-07,1.16279069767442E-06,0,23066,1,9,0,0,0,0,0,1.2,1497,-2,0,5,2,0.3,0,1.3,0,0,0,0,0,0.6,24341,0,0,0,0,390,2268,0,0,61,Brighton,Arsenal,Leicester,Watford,Crystal Palace,0.5,1,0.5,0.5,1,0.6,1,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.8,0.5,0.5,1.3,0.7,0.5,0.9,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.5,20.1
Damian Emiliano,Martinez,GLK,ARS,4000000,0,0,0,0,0,0,18300,0,0,0,0,0,0,0,0,675,0,0,0,0,0,0,0,0,0,0,0,0,0.8,753,0,0,0,0,0,62,0,0,0,Watford,Everton,Swansea,Man City,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno,Martins Indi,DEF,STK,5000000,0,5,1,2E-07,1E-06,0,1308,0,7,0,0,0,0,0,1,146,0,0,5,0,0.1,0,0.5,0,0,0,0,0,0,1203,0,0,0,0,301,8,0,0,59,Man City,Bournemouth,Watford,Leicester,Brighton,0,0.7,0.7,0.5,0.5,1,0.7,0.5,0.6,0.5,1,0.8,0.5,0.5,0.6,0.5,0.6,0.5,0.5,1,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,1.3,0.5,12.3
Brandon,Mason,DEF,WAT,4000000,0,0,0,0,0,0,30857,0,0,0,0,0,0,0,0,1883,0,0,0,0,0,0,0,0,0,0,0,0,1.3,18873,0,0,0,0,0,747,0,0,0,Arsenal,Chelsea,Stoke,Everton,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
