FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Vincent,Janssen,FWD,TOT,7400000,0,1,1,1.35135135135135E-07,1.35135135135135E-07,0,7968,0,0,0,0,0,0,0,0.1,147,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,890,0,0,0,0,1,3,0,0,2,Bournemouth,Liverpool,Man Utd,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,DEF,ARS,4500000,0,0,0,0,0,0,11269,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0.2,667,0,0,0,0,0,1,0,0,0,Watford,Everton,Swansea,Man City,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jese,MID,STK,5900000,0,18,0.857142857142857,1.45278450363196E-07,3.05084745762712E-06,0,349205,0,6,0,0,0,1,0,3.1,48423,-1,0,18,1,0.3,0,1.5,2,0,1,0,0,6.3,559164,0,0,0,1,326,767,0,0,53,Man City,Bournemouth,Watford,Leicester,Brighton,0,0.6,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.6,0.5,21.1
,Jesus,FWD,MCI,10500000,5,34,5.7,5.42857142857143E-07,3.23809523809524E-06,0,587722,1,2,0,0,0,4,0,3.3,22078,0,-1,34,0,0.6,0,5.8,6,0,3,0,1,14.1,692112,0,0,0,1,413,176665,1,0,118,Stoke,Burnley,West Brom,Arsenal,Leicester,8.1,5.9,6.6,8.6,6.8,6.6,5.4,8.6,5.6,7.9,4.5,8.1,6.4,7.8,5.5,6.4,7.1,7.3,7.2,7.6,4.5,4.9,7.2,8.5,7.2,6,7.7,5.2,5.7,6.2,7.8,53.8
,Joel Pereira,GLK,MUN,3900000,0,0,0,0,0,0,28094,0,0,0,0,0,0,0,0,2700,-1,0,0,1,0,0,0,0,0,0,0,0,1.6,49284,0,0,0,0,0,7554,0,0,0,Liverpool,Huddersfield,Tottenham,Chelsea,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen,Johnson,DEF,STK,4300000,1,1,0.0476190476190476,1.10741971207087E-08,2.32558139534884E-07,0,20880,0,4,0,0,0,0,0,0.2,539,-2,0,1,2,0.1,0,0.3,0,0,0,0,0,0.4,3455,0,0,0,0,91,262,0,0,20,Man City,Bournemouth,Watford,Leicester,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Phil,Jones,DEF,MUN,5200000,6,41,5.9,1.13461538461538E-06,7.88461538461538E-06,0,212365,0,2,0,0,0,0,0,7.9,16926,2,0,41,-2,1.1,0,5.5,4,0,6,0,0,9.1,588760,0,0,0,1,630,31481,0,0,200,Liverpool,Huddersfield,Tottenham,Chelsea,Newcastle,0,7.4,6.9,7.8,8.5,8.9,8.9,4.3,6,8.7,6.8,5.2,7.7,7.5,5.7,8.8,7.6,8.6,8.3,6.4,7,7.4,8.9,5.8,6.6,5.5,8.8,6.3,8.9,6.5,7.3,16.8
,Joselu,FWD,NEW,5500000,8,21,3.5,6.36363636363636E-07,3.81818181818182E-06,0,34355,1,3,0,0,0,2,0,3.8,2748,0,0,21,0,0.6,0,3.5,3,0,2,0,0,0.9,64851,0,0,0,0,412,12411,0,0,58,Southampton,Crystal Palace,Burnley,Bournemouth,Man Utd,3.4,5,3.1,4.9,2.1,3,2.7,3,4.3,5,1.8,2.1,2.9,4.9,3.4,2.8,2.5,3.3,4.3,3.3,3.2,2.6,3,3.4,3.4,2.8,5.2,3.4,4.2,4,2.6,43.9
Christian,Kabasele,DEF,WAT,4500000,1,15,2.5,5.55555555555556E-07,3.33333333333333E-06,0,2819,0,9,0,0,0,0,0,3.3,252,0,0,15,0,0.4,0,2,0,0,2,0,0,0.1,5470,0,0,0,0,458,116,0,0,84,Arsenal,Chelsea,Stoke,Everton,West Ham,2.5,2.9,1.8,2,2.5,2.3,1.2,1.2,2.9,3.7,1.7,2.7,1.3,1.2,2,1.4,1.9,2.4,1.2,2.1,1.5,2.1,1.5,2,1.8,1.3,2.9,2.6,3.3,1.7,1.7,13.9
Younes,Kaboul,DEF,WAT,4400000,0,7,0.333333333333333,7.57575757575757E-08,1.59090909090909E-06,0,17058,0,3,0,0,0,0,0,1.6,454,-1,0,7,1,0.3,0,1.5,0,0,1,0,0,0.2,3045,0,0,0,0,151,33,0,0,35,Arsenal,Chelsea,Stoke,Everton,West Ham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,5
